FlightNumber,PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,category_ES-L1,category_GEO,category_GTO,category_HEO,category_ISS,category_LEO,category_MEO,category_PO,category_SO,category_SSO,category_VLEO,category_CCSFS SLC 40,category_KSC LC 39A,category_VAFB SLC 4E,category_5e9e3032383ecb267a34e7c7,category_5e9e3032383ecb554034e7c9,category_5e9e3032383ecb6bb234e7ca,category_5e9e3032383ecb761634e7cb,category_5e9e3033383ecbb9e534e7cc,category_B0003,category_B0005,category_B0007,category_B1003,category_B1004,category_B1005,category_B1006,category_B1007,category_B1008,category_B1010,category_B1011,category_B1012,category_B1013,category_B1015,category_B1016,category_B1017,category_B1018,category_B1019,category_B1020,category_B1021,category_B1022,category_B1023,category_B1025,category_B1026,category_B1028,category_B1029,category_B1030,category_B1031,category_B1032,category_B1034,category_B1035,category_B1036,category_B1037,category_B1038,category_B1039,category_B1040,category_B1041,category_B1042,category_B1043,category_B1044,category_B1045,category_B1046,category_B1047,category_B1048,category_B1049,category_B1050,category_B1051,category_B1054,category_B1056,category_B1058,category_B1059,category_B1060,category_B1062
1.0,6123.547647058824,LEO,CCSFS SLC 40,1.0,False,False,False,,1.0,0.0,B0003,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2.0,525.0,LEO,CCSFS SLC 40,1.0,False,False,False,,1.0,0.0,B0005,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,677.0,ISS,CCSFS SLC 40,1.0,False,False,False,,1.0,0.0,B0007,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.0,500.0,PO,VAFB SLC 4E,1.0,False,False,False,,1.0,0.0,B1003,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5.0,3170.0,GTO,CCSFS SLC 40,1.0,False,False,False,,1.0,0.0,B1004,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6.0,3325.0,GTO,CCSFS SLC 40,1.0,False,False,False,,1.0,0.0,B1005,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7.0,2296.0,ISS,CCSFS SLC 40,1.0,False,False,True,,1.0,0.0,B1006,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.0,1316.0,LEO,CCSFS SLC 40,1.0,False,False,True,,1.0,0.0,B1007,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9.0,4535.0,GTO,CCSFS SLC 40,1.0,False,False,False,,1.0,0.0,B1008,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.0,4428.0,GTO,CCSFS SLC 40,1.0,False,False,False,,1.0,0.0,B1011,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
